iter	Passed	Remaining
356	2888	5202
357	2895	5192
358	2902	5182
359	2909	5172
360	2916	5161
361	2923	5152
362	2930	5142
363	2937	5132
364	2945	5123
365	2952	5114
366	2959	5104
367	2966	5094
368	2973	5084
369	2980	5074
370	2992	5074
371	2999	5064
372	3007	5054
373	3013	5044
374	3021	5036
375	3030	5029
376	3037	5019
377	3045	5010
378	3053	5003
379	3060	4994
380	3073	4993
381	3080	4983
382	3088	4975
383	3096	4967
384	3104	4958
385	3111	4949
386	3119	4940
387	3132	4941
388	3143	4936
389	3151	4930
390	3161	4923
391	3169	4915
392	3177	4908
393	3184	4898
394	3196	4895
395	3203	4885
396	3210	4876
397	3218	4868
398	3226	4859
399	3233	4850
400	3242	4842
401	3249	4833
402	3257	4825
403	3264	4816
404	3272	4807
405	3279	4797
406	3287	4790
407	3295	4781
408	3302	4771
409	3309	4762
410	3316	4752
411	3323	4742
412	3330	4733
413	3337	4724
414	3344	4714
415	3352	4705
416	3359	4696
417	3366	4687
418	3374	4678
419	3381	4670
420	3394	4668
421	3401	4658
422	3408	4649
423	3416	4640
424	3424	4632
425	3432	4624
426	3439	4615
427	3447	4608
428	3456	4600
429	3463	4590
430	3470	4582
431	3483	4580
432	3492	4572
433	3499	4564
434	3507	4555
435	3514	4546
436	3527	4544
437	3536	4537
438	3545	4530
439	3553	4522
440	3560	4513
441	3568	4504
442	3575	4495
443	3582	4485
444	3590	4477
445	3602	4474
446	3609	4465
447	3616	4456
448	3624	4447
449	3631	4438
450	3639	4430
451	3654	4431
452	3662	4422
453	3673	4417
454	3681	4409
455	3688	4400
456	3696	4391
457	3703	4382
458	3712	4375
459	3720	4368
460	3728	4359
461	3735	4349
462	3746	4345
463	3758	4342
464	3766	4333
465	3774	4324
466	3781	4316
467	3788	4306
468	3796	4298
469	3804	4290
470	3811	4280
471	3824	4278
472	3838	4276
473	3851	4274
474	3860	4267
475	3868	4259
476	3876	4250
477	3884	4241
478	3897	4239
479	3909	4235
480	3918	4227
481	3933	4227
482	3942	4220
483	3955	4217
484	3966	4212
485	3973	4202
486	3981	4193
487	3989	4185
488	4000	4180
489	4008	4172
490	4015	4163
491	4023	4154
492	4030	4145
493	4037	4135
494	4045	4126
495	4052	4117
496	4060	4109
497	4067	4100
498	4074	4091
499	4081	4081
500	4089	4073
501	4101	4068
502	4108	4059
503	4116	4050
504	4123	4041
505	4130	4032
506	4137	4023
507	4145	4014
508	4152	4005
509	4161	3998
510	4168	3988
511	4175	3979
512	4183	3971
513	4198	3969
514	4211	3965
515	4219	3957
516	4226	3948
517	4233	3939
518	4240	3929
519	4247	3920
520	4254	3911
521	4268	3908
522	4276	3900
523	4284	3891
524	4296	3887
525	4304	3879
526	4313	3871
527	4321	3862
528	4330	3855
529	4343	3851
530	4356	3847
531	4365	3839
532	4372	3831
533	4379	3821
534	4386	3812
535	4393	3803
536	4401	3794
537	4413	3790
538	4425	3785
539	4434	3777
540	4441	3768
541	4448	3759
542	4455	3749
543	4462	3740
544	4470	3731
545	4477	3723
546	4484	3714
547	4498	3710
548	4506	3702
549	4514	3693
550	4521	3684
551	4528	3675
552	4539	3669
553	4554	3666
554	4562	3658
555	4569	3649
556	4576	3640
557	4583	3630
558	4590	3621
559	4598	3612
560	4607	3605
561	4614	3596
562	4621	3587
563	4633	3582
564	4643	3575
565	4651	3566
566	4660	3558
567	4672	3553
568	4686	3549
569	4698	3544
570	4710	3539
571	4724	3535
572	4737	3530
573	4750	3525
574	4763	3521
575	4777	3516
576	4785	3508
577	4793	3499
578	4802	3492
579	4810	3483
580	4817	3474
581	4824	3465
582	4832	3456
583	4841	3448
584	4849	3440
585	4861	3434
586	4870	3426
587	4877	3417
588	4885	3409
589	4893	3400
590	4900	3391
591	4908	3382
592	4917	3374
593	4926	3367
594	4941	3363
595	4957	3360
596	4971	3355
597	4980	3347
598	4992	3342
599	5001	3334
600	5008	3325
601	5016	3316
602	5024	3308
603	5033	3300
604	5040	3290
605	5048	3282
606	5061	3277
607	5072	3270
608	5080	3262
609	5093	3256
610	5107	3251
611	5120	3246
612	5133	3240
613	5144	3234
614	5152	3225
615	5159	3216
616	5167	3207
617	5182	3203
618	5194	3197
619	5209	3192
620	5219	3185
621	5231	3179
622	5239	3170
623	5247	3161
624	5254	3152
625	5261	3143
626	5268	3134
627	5275	3125
628	5283	3116
629	5290	3107
630	5297	3097
631	5305	3089
632	5312	3079
633	5320	3071
634	5327	3062
635	5335	3053
636	5343	3045
637	5350	3036
638	5359	3027
639	5366	3018
640	5379	3012
641	5387	3003
642	5395	2995
643	5407	2989
644	5414	2980
645	5421	2971
646	5428	2961
647	5436	2953
648	5443	2943
649	5450	2934
650	5457	2925
651	5464	2916
652	5476	2910
653	5485	2902
654	5498	2895
655	5504	2886
656	5512	2878
657	5522	2870
658	5529	2861
659	5537	2852
660	5544	2843
661	5552	2835
662	5560	2826
663	5569	2818
664	5576	2809
665	5583	2800
666	5592	2791
667	5600	2783
668	5609	2775
669	5617	2766
670	5630	2760
671	5638	2752
672	5646	2743
673	5654	2734
674	5663	2726
675	5670	2717
676	5677	2708
677	5685	2700
678	5692	2691
679	5700	2682
680	5708	2674
681	5717	2666
682	5730	2659
683	5738	2651
684	5748	2643
685	5759	2636
686	5768	2628
687	5781	2621
688	5790	2613
689	5801	2606
690	5814	2600
691	5826	2593
692	5836	2585
693	5844	2577
694	5853	2568
695	5861	2559
696	5869	2551
697	5882	2545
698	5889	2536
699	5896	2527
700	5907	2519
701	5918	2512
702	5931	2505
703	5939	2497
704	5947	2488
705	5956	2480
706	5963	2471
707	5971	2462
708	5979	2454
709	5988	2446
710	5996	2437
711	6007	2430
712	6014	2421
713	6022	2412
714	6030	2403
715	6037	2394
716	6044	2385
717	6052	2376
718	6059	2368
719	6067	2359
720	6074	2350
721	6082	2341
722	6089	2332
723	6096	2324
724	6108	2316
725	6121	2310
726	6133	2303
727	6140	2294
728	6147	2285
729	6155	2276
730	6161	2267
731	6169	2258
732	6176	2249
733	6184	2241
734	6191	2232
735	6199	2223
736	6206	2214
737	6213	2205
738	6220	2196
739	6227	2188
740	6235	2179
741	6241	2170
742	6249	2161
743	6256	2152
744	6265	2144
745	6276	2137
746	6285	2128
747	6291	2119
748	6299	2110
749	6308	2102
750	6315	2094
751	6323	2085
752	6330	2076
753	6338	2068
754	6351	2061
755	6358	2052
756	6366	2043
757	6373	2034
758	6385	2027
759	6393	2018
760	6401	2010
761	6408	2001
762	6415	1992
763	6423	1984
764	6431	1975
765	6438	1966
766	6446	1958
767	6458	1950
768	6465	1942
769	6473	1933
770	6480	1924
771	6487	1916
772	6495	1907
773	6502	1898
774	6511	1890
775	6519	1882
776	6532	1874
777	6543	1867
778	6552	1858
779	6560	1850
780	6569	1842
781	6576	1833
782	6583	1824
783	6591	1815
784	6599	1807
785	6611	1800
786	6619	1791
787	6626	1782
788	6678	1786
789	6686	1777
790	6693	1768
791	6700	1759
792	6711	1751
793	6718	1743
794	6725	1734
795	6733	1725
796	6744	1717
797	6751	1709
798	6764	1701
799	6776	1694
800	6783	1685
801	6791	1676
802	6798	1667
803	6804	1658
804	6812	1650
805	6820	1641
806	6829	1633
807	6837	1624
808	6849	1617
809	6857	1608
810	6864	1599
811	6871	1590
812	6878	1582
813	6886	1573
814	6894	1564
815	6902	1556
816	6909	1547
817	6916	1538
818	6923	1530
819	6931	1521
820	6939	1513
821	6946	1504
822	6954	1495
823	6961	1486
824	6969	1478
825	6977	1469
826	6984	1461
827	6997	1453
828	7011	1446
829	7018	1437
830	7025	1428
831	7033	1420
832	7039	1411
833	7046	1402
834	7053	1393
835	7065	1386
836	7073	1377
837	7080	1368
838	7087	1360
839	7101	1352
840	7108	1343
841	7115	1335
842	7122	1326
843	7130	1317
844	7137	1309
845	7147	1301
846	7155	1292
847	7166	1284
848	7178	1276
849	7192	1269
850	7200	1260
851	7208	1252
852	7215	1243
853	7222	1234
854	7230	1226
855	7237	1217
856	7248	1209
857	7255	1200
858	7262	1192
859	7269	1183
860	7277	1174
861	7285	1166
862	7292	1157
863	7300	1149
864	7312	1141
865	7320	1132
866	7329	1124
867	7336	1115
868	7343	1107
869	7351	1098
870	7361	1090
871	7368	1081
872	7375	1073
873	7382	1064
874	7389	1055
875	7397	1047
876	7406	1038
877	7418	1030
878	7429	1022
879	7436	1014
880	7443	1005
881	7450	996
882	7457	988
883	7464	979
884	7471	970
885	7478	962
886	7486	953
887	7493	945
888	7500	936
889	7508	927
890	7520	920
891	7529	911
892	7544	903
893	7557	896
894	7565	887
895	7572	878
896	7580	870
897	7587	861
898	7594	853
899	7601	844
900	7615	836
901	7623	828
902	7631	819
903	7639	811
904	7646	802
905	7657	794
906	7665	785
907	7674	777
908	7680	768
909	7688	760
910	7695	751
911	7702	743
912	7709	734
913	7716	726
914	7723	717
915	7730	708
916	7738	700
917	7745	691
918	7752	683
919	7760	674
920	7767	666
921	7776	657
922	7789	649
923	7797	641
924	7804	632
925	7811	624
926	7819	615
927	7827	607
928	7834	598
929	7841	590
930	7848	581
931	7855	573
932	7868	565
933	7876	556
934	7883	548
935	7890	539
936	7897	531
937	7905	522
938	7912	514
939	7920	505
940	7927	497
941	7935	488
942	7942	480
943	7955	471
944	7963	463
945	7970	454
946	7978	446
947	7986	438
948	7993	429
949	8001	421
950	8008	412
951	8016	404
952	8024	395
953	8038	387
954	8046	379
955	8054	370
956	8067	362
957	8075	354
958	8082	345
959	8090	337
960	8097	328
961	8105	320
962	8111	311
963	8119	303
964	8126	294
965	8134	286
966	8142	277
967	8149	269
968	8156	260
969	8163	252
970	8171	244
971	8178	235
972	8185	227
973	8193	218
974	8200	210
975	8207	201
976	8214	193
977	8222	184
978	8229	176
979	8236	168
980	8243	159
981	8251	151
982	8258	142
983	8266	134
984	8274	126
985	8281	117
986	8288	109
987	8296	100
988	8303	92
989	8310	83
990	8318	75
991	8325	67
992	8332	58
993	8341	50
994	8348	41
995	8356	33
996	8367	25
997	8379	16
998	8387	8
999	8399	0
