iter	RMSE
0	33.51699818
1	33.39388253
2	33.2744408
3	33.16069743
4	33.04661258
5	32.94204017
6	32.83664645
7	32.74452406
8	32.71274789
9	32.68321357
10	32.58467917
11	32.49820812
12	32.42202636
13	32.34279456
14	32.31551508
15	32.23434916
16	32.1581515
17	32.13194239
18	32.05560243
19	32.03015147
20	31.95615412
21	31.93133771
22	31.86663762
23	31.79660583
24	31.77290085
25	31.71343496
26	31.65604252
27	31.63351648
28	31.61115412
29	31.58033366
30	31.55902544
31	31.53779391
32	31.47878112
33	31.42243585
34	31.40259424
35	31.34356823
36	31.28534924
37	31.23318511
38	31.21434837
39	31.16530153
40	31.14658968
41	31.0949834
42	31.0769958
43	31.05946897
44	31.04244185
45	31.02526609
46	31.00859701
47	30.96180371
48	30.94541224
49	30.89223685
50	30.87655622
51	30.8610555
52	30.84567604
53	30.83035895
54	30.77822708
55	30.76290733
56	30.74840614
57	30.70717508
58	30.69313205
59	30.67893531
60	30.66560182
61	30.61978342
62	30.60639997
63	30.59347271
64	30.58076773
65	30.56800765
66	30.52315457
67	30.48001195
68	30.46766176
69	30.43218718
70	30.42027453
71	30.40834354
72	30.38890407
73	30.3729101
74	30.3364
75	30.32494938
76	30.28442172
77	30.24895958
78	30.22226795
79	30.21198916
80	30.18341252
81	30.1523736
82	30.14264386
83	30.13276165
84	30.1229164
85	30.09401099
86	30.0846491
87	30.07535552
88	30.04409848
89	30.01845743
90	29.98830286
91	29.97973364
92	29.97108527
93	29.96252439
94	29.93225641
95	29.92378337
96	29.90158679
97	29.88530485
98	29.86276185
99	29.85510317
100	29.831122
101	29.82384112
102	29.79698239
103	29.76644834
104	29.7591949
105	29.75208537
106	29.73150615
107	29.70942017
108	29.68495479
109	29.67819652
110	29.65207776
111	29.63074984
112	29.6101724
113	29.59008778
114	29.57221009
115	29.56626808
116	29.55616553
117	29.54993969
118	29.53022586
119	29.5109713
120	29.50418254
121	29.49809028
122	29.49262735
123	29.47282674
124	29.45544032
125	29.43925047
126	29.43328628
127	29.41434131
128	29.4092835
129	29.39299227
130	29.37674154
131	29.35750761
132	29.33384728
133	29.32918241
134	29.31491887
135	29.29183927
136	29.28727594
137	29.27937364
138	29.2749809
139	29.27029749
140	29.26583789
141	29.26162726
142	29.24111538
143	29.21040992
144	29.18378587
145	29.15965415
146	29.15530806
147	29.14673393
148	29.14238946
149	29.12348515
150	29.10913082
151	29.09500916
152	29.09077936
153	29.07740419
154	29.06032494
155	29.03841516
156	29.02224742
157	29.00628516
158	29.0028453
159	28.99953592
160	28.98050914
161	28.96877839
162	28.95478759
163	28.93892059
164	28.9214012
165	28.90557229
166	28.88880206
167	28.86461845
168	28.84911523
169	28.83492586
170	28.81433396
171	28.81121535
172	28.79670994
173	28.7937665
174	28.79096729
175	28.78161853
176	28.7615786
177	28.7438167
178	28.72892649
179	28.71900243
180	28.70555079
181	28.69345392
182	28.69092658
183	28.68374049
184	28.67338803
185	28.67065555
186	28.66115915
187	28.65847695
188	28.64441146
189	28.63266801
190	28.61860714
191	28.61603455
192	28.60628548
193	28.5989268
194	28.59647061
195	28.57699179
196	28.57258267
197	28.5628689
198	28.55672735
199	28.54220677
200	28.53984491
201	28.52772414
202	28.51147372
203	28.49943555
204	28.49240448
205	28.48597996
206	28.47131489
207	28.45657125
208	28.44350235
209	28.43154826
210	28.41993816
211	28.40515226
212	28.40019355
213	28.38779923
214	28.3719481
215	28.36058378
216	28.34931084
217	28.33784964
218	28.32672155
219	28.30952055
220	28.29871212
221	28.28850946
222	28.28670851
223	28.27556939
